drug_name,tokens
moexipril,"['CCOC(=O)', '[C@H](', 'CCC1', '=', 'CC=', 'CC=', 'C1)', 'N', '[C@@H](C)', 'C(=O)N1', 'CC2', '=', 'CC(', 'OC)', '=C(', 'OC)', 'C=C2', 'C[C@H]1', 'C(O)=O']"
carisoprodol,"['CCCC', '(C)(', 'CO', 'C(N)=O)', 'COC(=O)N', 'C(C)C']"
pravastatin,"['[H]', '[C@]12', '[C@H](', 'C[C@H](O)', 'C=C1', 'C=C', '[C@H](C)', '[C@@H]2CC', '[C@@H](O)', 'C[C@@H](O)', 'CC(O)=O)', 'OC(=O)', '[C@@H](C)', 'CC']"
dexrazoxane,"['C[C@@H](', 'CN1', 'CC(=O)', 'NC(=O)', 'C1)', 'N1', 'CC(=O)', 'NC(=O)', 'C1']"
canagliflozin,"['[H]', '[C@]1(', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]1O)', 'C1=', 'CC', '=C(C)', 'C(', 'CC2', '=', 'CC', '=C(', 'S', '2)', 'C2=', 'CC', '=C(', 'F)', 'C=C', '2)', '=C1']"
dipyridamole,"['OCCN(', 'CCO)', 'C1=N', 'C2=C(', 'N=C(', 'N=C2', 'N2CCCCC2)', 'N(', 'CCO)', 'CCO)', 'C(=', 'N1)', 'N1CCCCC1']"
phensuximide,"['CN1C(=O)', 'CC(', 'C1=O)', 'C1=', 'CC=', 'CC', '=C1']"
cefdinir,"['[H]', '[C@]12', 'S', 'CC(', 'C=C)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)C(', '=N/', 'O)', '\\', 'C1=C', 'S', 'C(N)', '=N1', ')', 'C(O)=O']"
diroximel fumarate,"['COC(=O)', '\\', 'C=C\\', 'C(=O)OCC', 'N1C(=O)', 'CC', 'C1=O']"
vinorelbine,"['[H]', '[C@@]12', 'N(C)', 'C3=', 'CC(', 'OC)', '=C(', 'C=C3', '[C@@]1', '1', 'CCN3', 'CC', '=C', '[C@]', '(CC)', '(', '[C@@]13', '[H]', ')', '[C@@](', '[H]', ')', '(', 'OC(C)=O)', '[C@]2(O)', 'C(=O)OC)', '[C@]1', '(C', '[C@@]2(', '[H]', ')', 'CN(', 'CC(', 'CC)', '=C', '2)', 'CC2', '=C1', 'N', 'C1=', 'CC=', 'CC', '=C2', '1)', 'C(=O)OC']"
butabarbital,"['CCC(C)', 'C1(', 'CC)', 'C(=O)NC(=O)N', 'C1=O']"
lomitapide,"['FC(F)(F)', 'CNC(=O)', 'C1(', 'CCCC', 'N2CCC(', 'CC2)', 'NC(=O)', 'C2=C(', 'C=', 'CC', '=C', '2)', 'C2=', 'CC', '=C(', 'C=C', '2)', 'C(F)(F)F)', 'C2=', 'CC=', 'CC', '=C2', 'C2=', 'CC=', 'CC', '=C1', '2']"
eluxadoline,"['CO', 'C1=', 'CC', '=C(', 'CN(', '[C@@H](C)', 'C2=N', 'C(=', 'CN', '2)', 'C2=', 'CC=', 'CC', '=C', '2)', 'C(=O)', '[C@@H](N)', 'CC2', '=C(C)', 'C=C(', 'C=C2', 'C)', 'C(N)=O)', 'C=C1', 'C(O)=O']"
norethisterone,"['[H]', '[C@@]12', 'CC', '[C@@](O)(', 'C#', 'C)', '[C@@]1(C)CC', '[C@]1(', '[H]', ')', '[C@@]3(', '[H]', ')', 'CCC(=O)', 'C=C3', 'CC', '[C@@]21', '[H]']"
triazolam,"['CC1=N', 'N=C2', 'CN=C(', 'C3=', 'CC=', 'CC', '=C3', 'Cl)', 'C3=C(', 'C=CC(', 'Cl)', '=C', '3)', 'N12']"
trabectedin,"['[H]', '[C@@]12', '[C@@H]3', 'SC', '[C@]4', '(N', 'CCC', '5', '=C4', 'C=C(', 'OC)', 'C(O)', '=C', '5)', 'C(=O)OC', '[C@H](', 'N1', '[C@@H](O)', '[C@@H]1', 'CC4', '=', 'CC(C)', '=C(', 'OC)', 'C(O)', '=C4', '[C@H]2', 'N1', 'C)C1', '=C2', 'OCO', 'C2', '=C(C)', 'C(', 'OC(C)=O)', '=C3', '1']"
gemcitabine,"['N', 'C1=', 'NC(=O)', 'N(', 'C=', 'C1)', '[C@@H]1', 'O[C@H](CO)[C@@H](O)', 'C1', '(F)F']"
dronabinol,"['[H]', '[C@@]12', 'C=C(C)', 'CC', '[C@@]1(', '[H]', ')', 'C(C)(C)', 'OC1', '=C2', 'C(O)', '=', 'CC(', 'CCCCC)', '=C1']"
acetaminophen,"['CC(=O)N', 'C1=', 'CC', '=C(O)', 'C=C1']"
pralsetinib,"['CO', '[C@]1(', 'CC[C@@H](', 'CC1)', 'C1=N', 'C(N', 'C2=N', 'N', 'C(C)', '=C', '2)', '=', 'CC(C)', '=N1', ')', 'C(=O)N[C@@H](C)', 'C1=', 'CC', '=C(', 'N=', 'C1)', 'N1', 'C=C(', 'F)', 'C=', 'N1']"
fenofibric acid,"['CC(C)', '(O', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(=O)', 'C1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', 'C(O)=O']"
doxorubicin,"['CO', 'C1=', 'CC=', 'CC2', '=C1', 'C(=O)', 'C1=C(O)', 'C3=C(', 'C', '[C@]', '(O)', '(C', '[C@@H]3', 'O[C@H]3', 'C[C@H](N)', '[C@H](O)', '[C@H](C)', 'O3)', 'C(=O)', 'CO)', 'C(O)', '=C1', 'C2=O']"
thallous chloride,"['[Cl-]', '.', '[Tl+]']"
simethicone,"['O=', '[Si]', '=O', '.', 'CO', '[Si]', '(C)(C)', 'O', '[Si]', '(C)', '(C)C']"
ethchlorvynol,"['CCC(O)(', '\\', 'C=C\\', 'Cl)', 'C#C']"
paliperidone,"['CC1=C(', 'CCN2', 'CCC(', 'CC2)', 'C2=N', 'OC3', '=C2', 'C=', 'CC', '(F)', '=C', '3)', 'C(=O)N2', 'CCCC', '(O)', 'C2=', 'N1']"
prucalopride,"['CO', 'CCCN1', 'CCC(', 'CC1)', 'NC(=O)', 'C1', '=C2', 'OCC', 'C2=C(', 'N)', 'C(Cl)', '=C1']"
norgestimate,"['[H]', '[C@@]12', 'CC', '[C@@](', 'OC(C)=O)', '(', 'C#', 'C)', '[C@@]1', '(CC)', 'CC', '[C@]1(', '[H]', ')', '[C@@]3(', '[H]', ')', 'CC', '\\', 'C(', 'C=C3', 'CC', '[C@@]21', '[H]', ')', '=N/', 'O']"
pramipexole,"['CCCN', '[C@H]1', 'CCC2', '=C(', 'C1)', 'S', 'C(N)', '=N2']"
valsartan,"['CCCC', 'C(=O)N(', 'CC1=', 'CC', '=C(', 'C=', 'C1)', 'C1=', 'CC=', 'CC', '=C1', 'C1=N', 'N', 'N', '=N1', ')', '[C@@H](', 'C(C)C)', 'C(O)=O']"
trimethoprim,"['CO', 'C1=', 'CC(', 'CC2', '=', 'CN=C(', 'N)N', '=C2', 'N)', '=', 'CC(', 'OC)', '=C1', 'OC']"
lamotrigine,"['NC1=N', 'C(N)', '=C(N', '=N1', ')', 'C1=C(', 'Cl)', 'C(Cl)', '=', 'CC', '=C1']"
meperidine,"['CCOC(=O)', 'C1(', 'CCN(C)CC1)', 'C1=', 'CC=', 'CC', '=C1']"
guanidine,"['NC(N)', '=N']"
tocainide,"['CC(N)', 'C(=O)N', 'C1=C(C)', 'C=', 'CC', '=C1', 'C']"
furosemide,"['NS(=O)(=O)', 'C1=C(', 'Cl)', 'C=C(', 'N', 'CC2', '=', 'CC=', 'CO2)', 'C(=', 'C1)', 'C(O)=O']"
nelfinavir,"['[H]', '[C@@]12', 'CCCC', '[C@]1(', '[H]', ')', 'CN(', 'C[C@@H](O)', '[C@H](', 'CS', 'C1=', 'CC=', 'CC=', 'C1)', 'NC(=O)', 'C1=C(C)', 'C(O)', '=', 'CC=', 'C1)', '[C@@H](', 'C2)', 'C(=O)N', 'C(C)(C)C']"
articaine,"['CCCN', 'C(C)', 'C(=O)N', 'C1=C(', 'S', 'C=C1', 'C)', 'C(=O)OC']"
telithromycin,"['[H]', '[C@@]12', '[C@@H](C)', 'C(=O)', '[C@H](C)C', '[C@@](C)(', 'OC)', '[C@H](O', '[C@@H]3', 'O', '[C@H](C)C', '[C@@H](', '[C@H]3O)', 'N(C)C)', '[C@@H](C)', 'C(=O)', '[C@@H](C)', 'C(=O)O', '[C@H](CC)', '[C@@]1(C)', 'O', 'C(=O)N2', 'CCCCN1', 'C=N', 'C(=', 'C1)', 'C1=', 'CC=', 'CN', '=C1']"
pretomanid,"['[O-]', '[N+](=O)', 'C1=', 'CN2', 'C[C@@H](', 'CO', 'C2=', 'N1)', 'OCC1', '=', 'CC', '=C(', 'O', 'C(F)(F)F)', 'C=C1']"
indium in-111 pentetate,"['[111In+3]', '.', 'OC(=O)', 'CN(', 'CCN(', 'CCN(', 'CC(', '[O-])', '=O)', 'CC(', '[O-])', '=O)', 'CC(', '[O-])', '=O)', 'CC(O)', '=O']"
fluoxetine,"['CN', 'CCC(', 'O', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(F)(F)F)', 'C1=', 'CC=', 'CC', '=C1']"
carbinoxamine,"['CN(C)', 'CCOC(', 'C1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', 'C1=', 'CC=', 'CC=', 'N1']"
topotecan,"['CC', '[C@@]1(O)', 'C(=O)OCC', '2', '=C1', 'C=', 'C1N(', 'CC3', '=', 'CC4', '=C(', 'C=', 'CC(O)', '=C4', 'CN(C)C)', 'N=C1', '3)', 'C2=O']"
fexofenadine,"['CC(C)(', 'C(O)=O)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(O)', 'CCCN1', 'CCC(', 'CC1)', 'C(O)(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
triclabendazole,"['CS', 'C1=N', 'C2=C(', 'N1)', 'C=C(', 'Cl)', 'C(O', 'C1=', 'CC=', 'CC(', 'Cl)', '=C1', 'Cl)', '=C2']"
succinylcholine,"['C', '[N+](C)(C)', 'CCOC(=O)', 'CC', 'C(=O)OCC', '[N+](C)', '(C)C']"
ubrogepant,"['C[C@@H]1', '[C@@H](', 'C[C@H](NC(=O)', 'C2=', 'CN', '=C3', 'C', '[C@]4', '(', 'CC3', '=C', '2)', 'C(=O)N', 'C2=N', 'C=', 'CC', '=C4', '2)', 'C(=O)N1', 'CC(F)(F)F)', 'C1=', 'CC=', 'CC', '=C1']"
phenindamine,"['CN1', 'CCC2', '=C(', 'C1)', 'C(', 'C1=', 'CC=', 'CC', '=C2', '1)', 'C1=', 'CC=', 'CC', '=C1']"
flumazenil,"['CCOC(=O)', 'C1', '=C2', 'CN(C)C(=O)', 'C3=C(', 'C=', 'CC', '(F)', '=C', '3)', 'N2', 'C=', 'N1']"
benzphetamine,"['C[C@@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'N(C)', 'CC1=', 'CC=', 'CC', '=C1']"
dacomitinib,"['CO', 'C1=C(', 'NC(=O)', '\\', 'C=C\\', 'CN2', 'CCCCC2)', 'C=C2', 'C(N', 'C3=', 'CC(', 'Cl)', '=C(', 'F)', 'C=C', '3)', '=N', 'C=N', 'C2', '=C1']"
mebrofenin,"['CC1=', 'CC(C)', '=C(', 'Br)', 'C(C)', '=C1', 'NC(=O)', 'CN(', 'CC(O)=O)', 'CC(O)', '=O']"
lixisenatide,"['CC[C@H](C)', '[C@H](', 'NC(=O)[C@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'NC(=O)[C@H](CC(C)C)', 'NC(=O)[C@H](', 'CCCN', 'C(N)=N)', 'NC(=O)', '[C@@H](NC(=O)', '[C@H](C)', 'NC(=O)[C@H](', 'CCC(O)=O)', 'NC(=O)[C@H](', 'CCC(O)=O)', 'NC(=O)[C@H](', 'CCC(O)=O)', 'NC(=O)[C@H](', 'CCSC)', 'NC(=O)[C@H](', 'CCC(', 'N)=O)', 'NC(=O)[C@H](', 'CCCCN)', 'NC(=O)[C@H](', 'CO)', 'NC(=O)[C@H](CC(C)C)', 'NC(=O)[C@H](', 'CC(O)=O)', 'NC(=O)[C@H](', 'CO)', 'NC(=O)[C@@H](', 'NC(=O)[C@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'NC(=O)', '[C@@H](NC(=O)', 'CNC(=O)', '[C@H](', 'CCC(O)=O)', 'NC(=O)', 'CNC(=O)', '[C@@H](N)', 'CC1=', 'CN', 'C=', 'N1)', '[C@@H](C)O)', '[C@@H](C)O)', 'C(C)C)', 'C(=O)N[C@@H](', 'CCC(O)=O)', 'C(=O)N[C@@H](', 'CC1=', 'CN', 'C2', '=C1', 'C=', 'CC', '=C', '2)', 'C(=O)N[C@@H](CC(C)C)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'CC(N)=O)', 'C(=O)N', 'CC(=O)N', 'CC(=O)N1', 'CCC[C@H]1', 'C(=O)N[C@@H](', 'CO)', 'C(=O)N[C@@H](', 'CO)', 'C(=O)N', 'CC(=O)N', '[C@@H](C)', 'C(=O)N1CCC[C@H]1', 'C(=O)N1CCC[C@H]1', 'C(=O)N[C@@H](', 'CO)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(N)=O']"
tolcapone,"['CC1=', 'CC', '=C(', 'C=', 'C1)', 'C(=O)', 'C1=', 'CC(', '=C(O)', 'C(O)', '=', 'C1)', '[N+]([O-])=O']"
benazepril,"['[H]', '[C@@]1(', 'CCC2', '=', 'CC=', 'CC', '=C2', 'N(', 'CC(O)=O)', 'C1=O)', 'N[C@@H](', 'CCC1', '=', 'CC=', 'CC=', 'C1)', 'C(=O)OCC']"
methylene blue,"['[Cl-]', '.', 'CN(C)', 'C1=', 'CC2', '=', '[S+]', 'C3=C(', 'C=CC(', '=C', '3)', 'N(C)C)', 'N=C2', 'C=C1']"
oxandrolone,"['[H]', '[C@@]12', 'CC', '[C@](C)(O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', 'CC(=O)OC', '[C@]12C']"
alectinib,"['CCC1', '=', 'CC2', '=C(', 'C=C1', 'N1CCC(', 'CC1)', 'N1CCOCC1)', 'C(C)(C)', 'C1=C(', 'C3=', 'CC', '=C(', 'C=C3', 'N1)', 'C#N)', 'C2=O']"
lactic acid,"['CC(O)', 'C(O)=O']"
glycopyrronium,"['C', '[N+]1', '(C)', 'CCC(', 'C1)', 'OC(=O)', 'C(O)(', 'C1CCCC1)', 'C1=', 'CC=', 'CC', '=C1']"
aminolevulinic acid,"['N', 'CC(=O)', 'CCC(O)', '=O']"
lidocaine,"['CCN(CC)', 'CC(=O)N', 'C1=C(C)', 'C=', 'CC', '=C1', 'C']"
phenoxybenzamine,"['CC(CO', 'C1=', 'CC=', 'CC=', 'C1)', 'N(CCCl)', 'CC1=', 'CC=', 'CC', '=C1']"
tolazamide,"['CC1=', 'CC', '=C(', 'C=', 'C1)', 'S(=O)(=O)N', 'C(=O)N', 'N1CCCC', 'CC1']"
fludrocortisone,"['[H]', '[C@@]12', 'CC', '[C@](O)(', 'C(=O)', 'CO)', '[C@@]1', '(C)C', '[C@H](O)', '[C@@]1', '(F)', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'CC', '[C@]12C']"
phentolamine,"['CC1=', 'CC', '=C(', 'C=', 'C1)', 'N(', 'CC1=N', 'CCN1', ')', 'C1=', 'CC(O)', '=', 'CC', '=C1']"
trimipramine,"['CC(', 'CN(C)C)', 'CN1', 'C2=', 'CC=', 'CC', '=C2', 'CCC2', '=', 'CC=', 'CC', '=C1', '2']"
scopolamine,"['CN1', '[C@H]2', 'C[C@@H](', 'C[C@@H]1', '[C@H]1O', '[C@@H]2', '1)', 'OC(=O)', '[C@H](CO)', 'C1=', 'CC=', 'CC', '=C1']"
iopodic acid,"['CN(C)C', '=N', 'C1=C(', 'I)', 'C=C(', 'I)', 'C(', 'CCC(O)=O)', '=C1', 'I']"
spironolactone,"['[H]', '[C@@]12', 'CC', '[C@@]3', '(CC', 'C(=O)O', '3)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', '[C@@](', '[H]', ')', '(', 'CC2', '=CC(=O)', 'CC', '[C@]12', 'C)', 'S', 'C(C)=O']"
phenylbutyric acid,"['OC(=O)', 'CCCC1', '=', 'CC=', 'CC', '=C1']"
glyburide,"['CO', 'C1=C(', 'C=C(', 'Cl)', 'C=', 'C1)', 'C(=O)N', 'CCC1', '=', 'CC', '=C(', 'C=', 'C1)', 'S(=O)(=O)N', 'C(=O)N', 'C1CCCCC1']"
pyrantel,"['[H]', '\\', 'C(', '=C(\\', '[H]', ')', 'C1=N', 'CCCN1', 'C)', 'C1=', 'CC', '=C', 'S1']"
flucytosine,"['N', 'C1=C(', 'F)', 'C=N', 'C(=O)N1']"
etelcalcetide,"['C[C@@H](', 'NC(=O)[C@@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@@H](', 'CCCN', 'C(N)=N)', 'NC(=O)', '[C@@H](C)', 'NC(=O)[C@@H](', 'CS', 'S', 'C[C@H](N)', 'C(O)=O)', 'NC(C)=O)', 'C(=O)N[C@H](', 'CCCN', 'C(N)=N)', 'C(N)=O']"
prednisolone,"['[H]', '[C@@]12', 'CC', '[C@](O)(', 'C(=O)', 'CO)', '[C@@]1', '(C)C', '[C@H](O)', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'C=C', '[C@]12C']"
tripelennamine,"['CN(C)', 'CCN(', 'CC1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC=', 'N1']"
phenylpropanolamine,"['CC(N)', 'C(O)', 'C1=', 'CC=', 'CC', '=C1']"
fingolimod,"['CCCCCCCC', 'C1=', 'CC', '=C(', 'CCC(N)', '(CO)', 'CO)', 'C=C1']"
drospirenone,"['[H]', '[C@@]12', 'C', '[C@]1(', '[H]', ')', '[C@@]1(', '[H]', ')', '[C@]3(', '[H]', ')', '[C@]4', '(', '[H]', ')', 'C', '[C@]4', '(', '[H]', ')', '[C@@]4', '(CC', 'C(=O)O', '4)', '[C@@]3(C)CC', '[C@]1(', '[H]', ')', '[C@@]1(C)CC', 'C(=O)', 'C=C2', '1']"
calcitriol,"['C[C@H](', 'CCCC', '(C)(C)', 'O)', '[C@@]1(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', '\\', 'C(', 'CCC', '[C@]12', 'C)', '=C\\', 'C=C1', '\\', 'C[C@@H](O)', 'C[C@H](O)', 'C1=C']"
propafenone,"['CCCN', 'CC(O)CO', 'C1=C(', 'C=', 'CC=', 'C1)', 'C(=O)', 'CCC1', '=', 'CC=', 'CC', '=C1']"
benznidazole,"['[O-]', '[N+](=O)', 'C1=N', 'C=', 'CN1', 'CC(=O)N', 'CC1=', 'CC=', 'CC', '=C1']"
protriptyline,"['CN', 'CCCC1', 'C2=', 'CC=', 'CC', '=C2', 'C=', 'CC2', '=', 'CC=', 'CC', '=C1', '2']"
gadodiamide,"['[Gd+3]', '.', 'CNC(=O)', 'CN(', 'CCN(', 'CCN(', 'CC(', '[O-])', '=O)', 'CC(=O)N', 'C)', 'CC(', '[O-])', '=O)', 'CC(', '[O-])', '=O']"
lipoic acid,"['OC(=O)', 'CCCC', '[C@@H]1', 'CCS', 'S1']"
linaclotide,"['[H]', '[C@]1(', 'CS', 'SC', '[C@]2(', '[H]', ')', 'NC(=O)[C@H](', 'CC3', '=', 'CC', '=C(O)', 'C=C', '3)', 'NC(=O)[C@H](', 'CCC(O)=O)', 'NC(=O)', '[C@@H]3', 'CS', 'S', 'C[C@H](NC(=O)', '[C@H](C)', 'NC(=O)', '[C@@H]4', 'CCCN', '4', 'C(=O)[C@H](', 'CC(N)=O)', 'NC(=O)[C@H](', 'CS', 'S', 'C[C@H](N)', 'C(=O)N', '3)', 'N', 'C2=O)', 'C(=O)N', '[C@@](', '[H]', ')', '(', '[C@@H](C)O)', 'C(=O)N', 'CC(=O)N1', ')', 'C(=O)N[C@@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'C(O)=O']"
cefmetazole,"['[H]', '[C@]12', 'S', 'CC(', 'CS', 'C3=N', 'N', '=N', 'N3', 'C)', '=C(', 'N1C(=O)', '[C@]2(', 'NC(=O)CS', 'CC#N)', 'OC)', 'C(O)=O']"
propantheline,"['CC(C)', '[N+](C)(', 'CCOC(=O)', 'C1', 'C2=', 'CC=', 'CC', '=C2', 'O', 'C2=', 'CC=', 'CC', '=C1', '2)', 'C(C)C']"
procaine,"['CCN(CC)', 'CCOC(=O)', 'C1=', 'CC', '=C(N)', 'C=C1']"
lemborexant,"['CC1=N', 'C=C(', 'OC', '[C@]2', '(C', '[C@H]2', 'C(=O)N', 'C2=N', 'C=C(', 'F)', 'C=C', '2)', 'C2=', 'CC=', 'CC', '(F)', '=C', '2)', 'C(C)', '=N1']"
tolvaptan,"['CC1=', 'CC=', 'CC', '=C1', 'C(=O)N', 'C1=', 'CC(C)', '=C(', 'C=', 'C1)', 'C(=O)N1', 'CCC', '[C@@H](O)', 'C2', '=C1', 'C=CC(', 'Cl)', '=C2']"
cefepime,"['CO', '\\', 'N=C(', '/', 'C(=O)N[C@@H]1', 'C(=O)N2', '[C@]1(', '[H]', ')', 'S', 'CC(', 'C', '[N+]1', '(C)', 'CCCC1)', '=C2', 'C(', '[O-])', '=O)C1', '=C', 'S', 'C(N)', '=N1']"
ceftolozane,"['CN1', 'C(N)', '=C(', 'NC(=O)N', 'CCN)', 'C=', '[N+]1', 'CC1=C(', 'N2', '[C@H](', 'S', 'C1)', '[C@H](NC(=O)', 'C(', '=N/', 'OC(C)(C)', 'C(O)=O)', '\\', 'C1=N', 'S', 'C(N)', '=N1', ')', 'C2=O)', 'C(', '[O-])', '=O']"
vancomycin,"['CN', '[C@H](CC(C)C)', 'C(=O)N[C@@H]1', '[C@H](O)', 'C2=', 'CC', '=C(', 'OC3', '=C(', 'O', '[C@@H]4', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]4', 'O', '[C@H]4', 'C', '[C@](C)(', 'N)', '[C@H](O)', '[C@H](C)', 'O4)', 'C4', '=', 'CC(', '=C', '3)', '[C@@H](', 'NC(=O)[C@H](', 'CC(N)=O)', 'N', 'C1=O)', 'C(=O)N[C@@H]1', 'C3=', 'CC(', '=C(O)', 'C=C', '3)', 'C3', '=C(O)', 'C=C(', 'O)', 'C=C3', '[C@H](NC(=O)', '[C@@H](N', 'C1=O)', '[C@H](O)', 'C1=', 'CC(', 'Cl)', '=C(', 'O4)', 'C=', 'C1)', 'C(O)=O)', 'C(Cl)', '=C2']"
tegaserod,"['CCCC', 'CN', 'C(=N)N', '\\', 'N', '=C\\', 'C1=', 'CN', 'C2', '=C1', 'C=C(', 'OC)', 'C=C2']"
guanadrel,"['NC(N)', '=N', 'CC1', 'CO', 'C2(', 'CCCCC2)', 'O1']"
ixabepilone,"['[H]', '[C@]12', 'C[C@H](NC(=O)', 'C[C@H](O)', 'C(C)(C)', 'C(=O)', '[C@H](C)', '[C@@H](O)', '[C@@H](C)', 'CCC', '[C@@]1(C)', 'O2)', 'C(\\', 'C)', '=C\\', 'C1=C', 'S', 'C(C)', '=N1']"
methylprednisolone,"['[H]', '[C@@]12', 'CC', '[C@](O)(', 'C(=O)', 'CO)', '[C@@]1', '(C)C', '[C@H](O)', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'C[C@H](C)', 'C2=', 'CC(=O)', 'C=C', '[C@]12C']"
regadenoson,"['CNC(=O)', 'C1=C', 'N(', 'N=', 'C1)', 'C1=N', 'C2=C(', 'N=', 'CN2', '[C@@H]2', 'O[C@H](CO)[C@@H](O)', '[C@H]2O)', 'C(N)', '=N1']"
perindopril,"['[H]', '[C@]12', 'C[C@H](', 'N(C(=O)', '[C@H](C)', 'N[C@@H](', 'CCC)', 'C(=O)OCC)', '[C@@]1(', '[H]', ')', 'CCCC2)', 'C(O)=O']"
remifentanil,"['CC', 'C(=O)N(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1(', 'CCN(CC', 'C(=O)OC)', 'CC1)', 'C(=O)OC']"
dutasteride,"['[H]', '[C@@]1', '(CC', '[C@@]2(', '[H]', ')', '[C@]3(', '[H]', ')', 'CC[C@@]4', '(', '[H]', ')', 'NC(=O)', 'C=C', '[C@]4(C)', '[C@@]3(', '[H]', ')', 'CC', '[C@]12', 'C)', 'C(=O)N', 'C1=', 'CC(', '=', 'CC', '=C1', 'C(F)(F)F)', 'C(F)(F)F']"
liotrix,"['[Na+]', '.', '[Na+]', '.', 'N[C@@H](', 'CC1=', 'CC(', 'I)', '=C(', 'O', 'C2=', 'CC(', 'I)', '=C(O)', 'C=C', '2)', 'C(', 'I)', '=', 'C1)', 'C(', '[O-])', '=O', '.', 'N[C@@H](', 'CC1=', 'CC(', 'I)', '=C(', 'O', 'C2=', 'CC(', 'I)', '=C(O)', 'C(', 'I)', '=C', '2)', 'C(', 'I)', '=', 'C1)', 'C(', '[O-])', '=O']"
selpercatinib,"['CO', 'C1=N', 'C=C(', 'CN2', 'C3', 'CC2', 'CN(', 'C3)', 'C2=', 'CC', '=C(', 'C=N', '2)', 'C2=', 'CC(', 'OCC', '(C)(C)', 'O)', '=', 'CN3', 'N=', 'CC(', 'C#N)', '=C2', '3)', 'C=C1']"
granisetron,"['CN1', 'N=C(', 'C(=O)N', '[C@@H]2', 'C[C@@H]3', 'CCC[C@H](', 'C2)', 'N3', 'C)', 'C2', '=C1', 'C=', 'CC', '=C2']"
artemether,"['[H]', '[C@@]12', 'CC[C@@H](C)', '[C@]3(', '[H]', ')', 'CC', '[C@@]4(C)', 'OO', '[C@@]13', '[C@](', '[H]', ')', '(', 'O[C@H](', 'OC)', '[C@@H]2', 'C)O', '4']"
umeclidinium,"['OC(', 'C1=', 'CC=', 'CC=', 'C1)', '(', 'C1=', 'CC=', 'CC=', 'C1)', 'C12', 'CC', '[N+](', 'CCOCC', '3', '=', 'CC=', 'CC', '=C', '3)', '(', 'CC1)', 'CC2']"
sibutramine,"['CC(C)', 'CC(N', '(C)C)', 'C1(', 'CCC1)', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']"
ephedrine,"['CN', '[C@@H](C)', '[C@H](O)', 'C1=', 'CC=', 'CC', '=C1']"
obeticholic acid,"['[H]', '[C@@]1', '(CC', '[C@@]2(', '[H]', ')', '[C@]3(', '[H]', ')', '[C@H](O)', '[C@H](CC)', '[C@]4', '(', '[H]', ')', 'C[C@H](O)', 'CC[C@]4(C)', '[C@@]3(', '[H]', ')', 'CC', '[C@]12', 'C)', '[C@H](C)', 'CCC(O)', '=O']"
