drug_name,tokens,labels
phenoxymethylpenicillin,"['[H]', '[C@]12', 'S', 'C(C)(C)', '[C@@H](', 'N1C(=O)', '[C@H]2', 'NC(=O)CO', 'C1=', 'CC=', 'CC=', 'C1)', 'C(O)=O']","[917, 888, 742, 197, 781, 613, 870, 649, 258, 388, 388, 253, 234]"
elagolix,"['CO', 'C1=', 'CC=', 'CC(', '=C1', 'F)', 'C1=C(C)', 'N(', 'CC2', '=C(', 'C=', 'CC', '=C2', 'F)', 'C(F)(F)F)', 'C(=O)N(', 'C[C@H](', 'NCCCC', '(O)=O)', 'C2=', 'CC=', 'CC', '=C', '2)', 'C1=O']","[547, 258, 388, 327, 106, 586, 261, 592, 377, 94, 311, 324, 108, 586, 219, 153, 571, 665, 57, 286, 388, 324, 93, 74, 266]"
betaxolol,"['CC(C)N', 'CC(O)CO', 'C1=', 'CC', '=C(', 'CCOCC', '2', 'CC2)', 'C=C1']","[350, 363, 258, 324, 94, 497, 73, 379, 316]"
methylene blue,"['[Cl-]', '.', 'CN(C)', 'C1=', 'CC2', '=', '[S+]', 'C3=C(', 'C=CC(', '=C', '3)', 'N(C)C)', 'N=C2', 'C=C1']","[904, 60, 523, 258, 377, 92, 949, 300, 319, 93, 78, 599, 641, 316]"
etoposide,"['[H]', '[C@]12', 'COC(=O)', '[C@]1(', '[H]', ')', '[C@H](', 'C1=', 'CC(', 'OC)', '=C(O)', 'C(OC)', '=', 'C1)', 'C1=', 'CC3', '=C(', 'OCO3)', 'C=C1', '[C@H]2O', '[C@@H]1O', '[C@]2(', '[H]', ')', 'CO', '[C@@H](C)', 'O', '[C@@]2(', '[H]', ')', '[C@H](O)', '[C@H]1O']","[917, 888, 553, 885, 917, 59, 839, 258, 327, 692, 100, 237, 92, 253, 258, 382, 94, 713, 316, 872, 803, 891, 917, 59, 547, 783, 670, 824, 917, 59, 854, 867]"
semaglutide,"['CC[C@H](C)', '[C@H](', 'NC(=O)[C@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'NC(=O)[C@H](', 'CCC(O)=O)', 'NC(=O)[C@H](', 'CCCCNC(=O)', 'CO', 'CCOCC', 'NC(=O)CO', 'CCOCC', 'NC(=O)', 'CC[C@@H](', 'NC(=O)', 'CCCCCCCCCCCCCCCC', 'C(O)=O)', 'C(O)=O)', 'NC(=O)', '[C@H](C)', 'NC(=O)', '[C@H](C)', 'NC(=O)[C@H](', 'CCC(', 'N)=O)', 'NC(=O)', 'CNC(=O)', '[C@H](', 'CCC(O)=O)', 'NC(=O)[C@H](CC(C)C)', 'NC(=O)[C@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'NC(=O)[C@H](', 'CO)', 'NC(=O)[C@H](', 'CO)', 'NC(=O)[C@@H](', 'NC(=O)[C@H](', 'CC(O)=O)', 'NC(=O)[C@H](', 'CO)', 'NC(=O)[C@@H](', 'NC(=O)[C@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'NC(=O)', '[C@@H](NC(=O)', 'CNC(=O)', '[C@H](', 'CCC(O)=O)', 'NC(=O)', 'C(C)(C)', 'NC(=O)', '[C@@H](N)', 'CC1=', 'CN', '=', 'CN', '1)', '[C@@H](C)O)', '[C@@H](C)O)', 'C(C)C)', 'C(=O)N[C@@H](C)', 'C(=O)N[C@@H](', 'CC1=', 'CN', 'C2', '=C1', 'C=', 'CC', '=C', '2)', 'C(=O)N[C@@H](CC(C)C)', 'C(=O)N[C@@H](', 'C(C)C)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N', 'CC(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N', 'CC(O)', '=O']","[511, 839, 655, 371, 388, 388, 253, 655, 404, 655, 443, 547, 497, 649, 497, 646, 504, 646, 438, 235, 235, 646, 842, 646, 842, 655, 392, 607, 646, 543, 839, 404, 656, 655, 371, 324, 100, 311, 253, 655, 548, 655, 548, 653, 655, 362, 655, 548, 653, 655, 371, 388, 388, 253, 646, 793, 543, 839, 404, 646, 197, 646, 792, 371, 519, 92, 519, 72, 785, 785, 206, 175, 174, 371, 519, 281, 106, 311, 324, 93, 74, 176, 174, 206, 174, 444, 224, 152, 335, 444, 224, 152, 360, 120]"
plicamycin,"['CO', '[C@@H](', '[C@@H]1', 'CC2', '=', 'CC3', '=', 'CC(O', '[C@H]4', 'C[C@@H](', 'O', '[C@H]5', 'C[C@@H](O)', '[C@H](O)', '[C@@H](C)', 'O', '5)', '[C@H](O)', '[C@@H](C)', 'O4)', '=C(C)', 'C(O)', '=C3', 'C(O)', '=C2', 'C(=O)', '[C@H]1O', '[C@H]1', 'C[C@@H](', 'O[C@H]2', 'C[C@@H](', 'O[C@H]3', 'C', '[C@](C)(O)', '[C@H](O)', '[C@@H](C)', 'O3)', '[C@@H](O)', '[C@@H](C)', 'O2)', '[C@H](O)', '[C@@H](C)', 'O1)', 'C(=O)', '[C@@H](O)', '[C@@H](C)', 'O']","[547, 781, 801, 377, 92, 382, 92, 359, 877, 563, 670, 878, 567, 854, 783, 670, 86, 854, 783, 677, 97, 231, 109, 231, 108, 146, 867, 862, 563, 732, 563, 733, 134, 882, 854, 783, 676, 795, 783, 675, 854, 783, 673, 146, 795, 783, 670]"
bosutinib,"['CO', 'C1=', 'CC(N', 'C2=C(', 'C=N', 'C3=', 'CC(', 'OCC', 'CN4', 'CCN(C)CC', '4)', '=C(', 'OC)', 'C=C2', '3)', 'C#N)', '=C(', 'Cl)', 'C=C1', 'Cl']","[547, 258, 355, 287, 322, 299, 327, 698, 540, 470, 82, 94, 692, 317, 78, 138, 94, 584, 316, 583]"
citric acid,"['OC(=O)', 'CC(O)(', 'CC(O)=O)', 'C(O)=O']","[686, 361, 362, 234]"
bremelanotide,"['CCCC', '[C@H](', 'NC(C)=O)', 'C(=O)N[C@H]1', 'CC(=O)N', 'CCCC', '[C@H](', 'NC(=O)[C@H](', 'CC2', '=', 'CN', 'C3=', 'CC=', 'CC', '=C2', '3)', 'NC(=O)[C@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@@H](', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'NC(=O)[C@H](', 'CC2', '=', 'CN', '=', 'CN', '2)', 'N', 'C1=O)', 'C(O)=O']","[415, 839, 658, 179, 329, 415, 839, 655, 377, 92, 519, 299, 388, 324, 108, 78, 655, 444, 224, 653, 377, 92, 388, 324, 93, 74, 655, 377, 92, 519, 92, 519, 74, 590, 267, 234]"
pentobarbital,"['CCCC(C)', 'C1(', 'CC)', 'C(=O)NC(=O)N', 'C1=O']","[419, 250, 364, 168, 266]"
dimethyl fumarate,"['[H]', '\\', 'C(', '=C(\\', '[H]', ')', 'C(=O)OC)', 'C(=O)OC']","[917, 957, 139, 101, 917, 59, 184, 183]"
colchicine,"['CO', 'C1=', 'CC2', '=C(', 'C(OC)', '=C1', 'OC)', 'C1=', 'CC', '=C(', 'OC)', 'C(=O)', 'C=C1', '[C@H](', 'CC2)', 'N', 'C(C)=O']","[547, 258, 377, 94, 237, 106, 692, 258, 324, 94, 692, 146, 316, 839, 379, 590, 203]"
testosterone,"['[H]', '[C@@]12', 'CC[C@H](O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'CC', '[C@]12C']","[917, 822, 513, 820, 818, 917, 59, 824, 917, 59, 410, 111, 324, 889]"
roflumilast,"['F', 'C(F)', 'O', 'C1=C(', 'OCC2', 'CC2)', 'C=C(', 'C=', 'C1)', 'C(=O)N', 'C1=C(', 'Cl)', 'C=N', 'C=C1', 'Cl']","[585, 216, 670, 260, 704, 379, 313, 311, 253, 152, 260, 584, 322, 316, 583]"
bicalutamide,"['CC(O)', '(C', 'S(=O)(=O)', 'C1=', 'CC', '=C(', 'F)', 'C=', 'C1)', 'C(=O)N', 'C1=', 'CC(', '=C(', 'C=', 'C1)', 'C#N)', 'C(F)(F)F']","[360, 36, 745, 258, 324, 94, 586, 311, 253, 152, 258, 327, 94, 311, 253, 138, 218]"
butabarbital,"['CCC(C)', 'C1(', 'CC)', 'C(=O)NC(=O)N', 'C1=O']","[397, 250, 364, 168, 266]"
dextroamphetamine,"['C[C@H](N)', 'CC1=', 'CC=', 'CC', '=C1']","[574, 371, 388, 324, 106]"
methyltestosterone,"['[H]', '[C@@]12', 'CC', '[C@](C)(O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'CC', '[C@]12C']","[917, 822, 324, 882, 820, 818, 917, 59, 824, 917, 59, 410, 111, 324, 889]"
venetoclax,"['CC1(C)', 'CCC(', 'CN2CCN(', 'CC2)', 'C2=', 'CC', '=C(', 'C(=O)NS(=O)(=O)', 'C3=', 'CC', '=C(N', 'CC4', 'CCOCC4)', 'C(', '=C', '3)', '[N+]([O-])=O)', 'C(', 'OC3', '=', 'CN', '=C4', 'N', 'C=', 'CC4', '=C', '3)', '=C', '2)', '=C(', 'C1)', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']","[367, 392, 538, 379, 286, 324, 94, 173, 299, 324, 98, 385, 500, 139, 93, 78, 932, 139, 696, 92, 519, 110, 590, 311, 385, 93, 78, 93, 74, 94, 253, 258, 324, 94, 584, 316]"
benzphetamine,"['C[C@@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'N(C)', 'CC1=', 'CC=', 'CC', '=C1']","[563, 371, 388, 388, 253, 596, 371, 388, 324, 106]"
ferrous gluconate,"['[Fe++]', '.', '[H]', '[C@@](O)(', 'CO)', '[C@@](', '[H]', ')', '(O)', '[C@](', '[H]', ')', '(O)', '[C@@](', '[H]', ')', '(O)', 'C(', '[O-])', '=O', '.', '[H]', '[C@@](O)(', 'CO)', '[C@@](', '[H]', ')', '(O)', '[C@](', '[H]', ')', '(O)', '[C@@](', '[H]', ')', '(O)', 'C(', '[O-])', '=O']","[910, 60, 917, 816, 548, 814, 917, 59, 54, 880, 917, 59, 54, 814, 917, 59, 54, 139, 945, 120, 60, 917, 816, 548, 814, 917, 59, 54, 880, 917, 59, 54, 814, 917, 59, 54, 139, 945, 120]"
ganirelix,"['CCN', 'C(N', 'CC)', '=N', 'CCCC', '[C@@H](', 'NC(=O)[C@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'NC(=O)[C@H](', 'CO)', 'NC(=O)[C@@H](', 'CC1=', 'CC=', 'CN', '=', 'C1)', 'NC(=O)[C@@H](', 'CC1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', 'NC(=O)[C@@H](', 'CC1=', 'CC2', '=', 'CC=', 'CC', '=C2', 'C=', 'C1)', 'NC(C)=O)', 'C(=O)N[C@@H](CC(C)C)', 'C(=O)N[C@@H](', 'CCCC', 'N=C(N', 'CC)', 'N', 'CC)', 'C(=O)N1CCC[C@H]1', 'C(=O)N', '[C@H](C)', 'C(N)=O']","[463, 221, 364, 113, 415, 781, 655, 371, 324, 100, 311, 253, 655, 548, 653, 371, 388, 519, 92, 253, 653, 371, 324, 94, 584, 311, 253, 653, 371, 377, 92, 388, 324, 108, 311, 253, 658, 176, 174, 415, 637, 364, 590, 364, 159, 152, 842, 225]"
elvitegravir,"['[H]', '[C@@](', 'CO)', '(', 'C(C)C)', 'N1', 'C=C(', 'C(O)=O)', 'C(=O)C2', '=C1', 'C=C(', 'OC)', 'C(', 'CC1=C(', 'F)', 'C(Cl)', '=', 'CC=', 'C1)', '=C2']","[917, 814, 548, 31, 206, 609, 313, 235, 150, 106, 313, 692, 139, 372, 586, 214, 92, 388, 253, 108]"
entrectinib,"['CN1CCN(', 'CC1)', 'C1=', 'CC', '=C(', 'C(=O)N', 'C2=N', 'N', 'C3=', 'CC', '=C(', 'CC4', '=', 'CC', '(F)', '=', 'CC', '(F)', '=C', '4)', 'C=C2', '3)', 'C(N', 'C2', 'CCOCC2)', '=C1']","[534, 369, 258, 324, 94, 152, 289, 590, 299, 324, 94, 385, 92, 324, 47, 92, 324, 47, 93, 82, 317, 78, 221, 281, 499, 106]"
sumatriptan,"['CNS(=O)(=O)', 'CC1=', 'CC', '=C2', 'NC', '=C(', 'CCN(C)C)', 'C2', '=C1']","[546, 371, 324, 108, 642, 94, 469, 281, 106]"
relugolix,"['CO', 'NC(=O)N', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C1=C(', 'CN(C)C)', 'C2=C(', 'S', '1)', 'N(', 'CC1=C(', 'F)', 'C=', 'CC', '=C1', 'F)', 'C(=O)N(', 'C2=O)', 'C1=', 'CC', '=C(', 'OC)', 'N', '=N1']","[547, 651, 258, 324, 94, 311, 253, 260, 526, 287, 742, 72, 592, 372, 586, 311, 324, 106, 586, 153, 291, 258, 324, 94, 692, 590, 117]"
nilutamide,"['CC1(C)', 'NC(=O)', 'N(', 'C1=O)', 'C1=', 'CC(', '=C(', 'C=', 'C1)', '[N+]([O-])=O)', 'C(F)(F)F']","[367, 646, 592, 267, 258, 327, 94, 311, 253, 932, 218]"
berotralstat,"['N', 'CC1=', 'CC(', '=', 'CC=', 'C1)', 'N1', 'N=C(', 'C=C1', 'C(=O)N', 'C1=', 'CC(', '=', 'CC', '=C1', 'F)', '[C@H](N', 'CC1CC1)', 'C1=', 'CC=', 'CC(', '=', 'C1)', 'C#N)', 'C(F)(F)F']","[590, 371, 327, 92, 388, 253, 609, 636, 316, 152, 258, 327, 92, 324, 106, 586, 850, 376, 258, 388, 327, 92, 253, 138, 218]"
vincristine,"['[H]', '[C@@]12', 'N3', 'CC', '[C@@]1', '1', 'C4', '=C(', 'C=C(', 'OC)', 'C(', '=C', '4)', '[C@]4', '(C', '[C@H]5', 'C', '[N@]', '(C', '[C@]', '(O)', '(CC)', 'C5)', 'CCC', '5', '=C4', 'N', 'C4', '=', 'CC=', 'CC', '=C', '5', '4)', 'C(=O)OC)', 'N(C', '=O)', '[C@@]1(', '[H]', ')', '[C@](O)(', '[C@H](OC(C)=O)', '[C@]2', '(CC)', 'C=', 'CC3)', 'C(=O)OC']","[917, 822, 631, 324, 817, 71, 305, 94, 313, 692, 139, 93, 82, 898, 36, 878, 134, 938, 36, 879, 54, 44, 310, 391, 85, 110, 590, 305, 92, 388, 324, 93, 85, 82, 184, 593, 121, 818, 917, 59, 883, 860, 890, 44, 311, 383, 183]"
trimethobenzamide,"['CO', 'C1=', 'CC(', '=', 'CC(', 'OC)', '=C1', 'OC)', 'C(=O)N', 'CC1=', 'CC', '=C(', 'OCC', 'N(C)C)', 'C=C1']","[547, 258, 327, 92, 327, 692, 106, 692, 152, 371, 324, 94, 698, 599, 316]"
methotrexate,"['CN(', 'CC1=', 'CN', '=C2', 'N=C(N)', 'N=C(N)', 'C2=', 'N1)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(=O)N[C@@H](', 'CCC(O)=O)', 'C(O)=O']","[520, 371, 519, 108, 638, 638, 286, 610, 258, 324, 94, 311, 253, 174, 404, 234]"
arformoterol,"['CO', 'C1=', 'CC', '=C(', 'C[C@@H](C)', 'NC', '[C@H](O)', 'C2=', 'CC(N', 'C=O)', '=C(O)', 'C=C', '2)', 'C=C1']","[547, 258, 324, 94, 564, 642, 854, 286, 355, 323, 100, 312, 74, 316]"
succinylcholine,"['C', '[N+](C)(C)', 'CCOC(=O)', 'CC', 'C(=O)OCC', '[N+](C)', '(C)C']","[134, 928, 495, 324, 185, 926, 40]"
crizotinib,"['C[C@@H](', 'O', 'C1=', 'CC(', '=', 'CN', '=C1', 'N)', 'C1=C', 'N(', 'N=', 'C1)', 'C1', 'CCN', 'CC1)', 'C1=C(', 'Cl)', 'C=', 'CC', '(F)', '=C1', 'Cl']","[563, 670, 258, 327, 92, 519, 106, 606, 259, 592, 634, 253, 249, 463, 369, 260, 584, 311, 324, 47, 106, 583]"
ceftaroline fosamil,"['[H]', '[C@]12', 'S', 'CC(', 'S', 'C3=N', 'C(', '=C', 'S', '3)', 'C3=', 'CC=', '[N+]', '(C)C', '=C', '3)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)C(', '=N/', 'OCC)', '\\', 'C1=N', 'S', 'C(N', 'P(O)(O)=O)', '=N1', ')', 'C(', '[O-])', '=O']","[917, 888, 742, 327, 742, 301, 139, 93, 742, 78, 299, 388, 923, 40, 93, 78, 94, 613, 870, 648, 116, 702, 957, 265, 742, 221, 741, 117, 59, 139, 945, 120]"
chlorcyclizine,"['CN1CCN(', 'CC1)', 'C(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']","[534, 369, 139, 258, 388, 388, 253, 258, 324, 94, 584, 316]"
topiramate,"['[H]', '[C@@]12', 'CO', '[C@@]3(', 'CO', 'S(N)(=O)=O)', 'OC(C)(C)', 'O', '[C@@]3(', '[H]', ')', '[C@]1(', '[H]', ')', 'OC(C)(C)', 'O2']","[917, 822, 547, 830, 547, 752, 688, 670, 830, 917, 59, 885, 917, 59, 688, 674]"
anastrozole,"['CC(C)(', 'C#N)', 'C1=', 'CC(', '=', 'CC(', 'CN2', 'C=N', 'C=N', '2)', '=', 'C1)', 'C(C)(C)', 'C#N']","[342, 138, 258, 327, 92, 327, 535, 322, 322, 74, 92, 253, 197, 137]"
nitisinone,"['[O-]', '[N+](=O)', 'C1=C(', 'C=CC(', '=', 'C1)', 'C(F)(F)F)', 'C(=O)C1', 'C(=O)', 'CCCC1', '=O']","[944, 925, 260, 319, 92, 253, 219, 149, 146, 421, 120]"
trandolapril,"['[H]', '[C@@]12', 'C[C@H](', 'N(C(=O)', '[C@H](C)', 'N[C@@H](', 'CCC3', '=', 'CC=', 'CC', '=C', '3)', 'C(=O)OCC)', '[C@@]1(', '[H]', ')', 'CCCC2)', 'C(O)=O']","[917, 822, 571, 594, 842, 667, 412, 92, 388, 324, 93, 78, 186, 818, 917, 59, 424, 234]"
flutamide,"['CC(C)', 'C(=O)N', 'C1=', 'CC(', '=C(', 'C=', 'C1)', '[N+]([O-])=O)', 'C(F)(F)F']","[341, 152, 258, 327, 94, 311, 253, 932, 218]"
trimetrexate,"['CO', 'C1=', 'CC(N', 'CC2', '=C(C)', 'C3=C(', 'C=C', '2)', 'N=C(N)N', '=C3', 'N)', '=', 'CC(', 'OC)', '=C1', 'OC']","[547, 258, 355, 377, 97, 300, 312, 74, 639, 109, 606, 92, 327, 692, 106, 684]"
acitretin,"['CO', 'C1=C(C)', 'C(C)', '=C(\\', 'C=C\\', 'C(\\', 'C)', '=C\\', 'C=C\\', 'C(\\', 'C)', '=C\\', 'C(O)=O)', 'C(C)', '=C1']","[547, 261, 195, 101, 321, 240, 241, 112, 321, 240, 241, 112, 235, 195, 106]"
trihexyphenidyl,"['OC(', 'CCN1', 'CCCCC1)', '(', 'C1CCCCC1)', 'C1=', 'CC=', 'CC', '=C1']","[685, 479, 431, 31, 278, 258, 388, 324, 106]"
istradefylline,"['[H]', '\\', 'C(', '=C(\\', '[H]', ')', 'C1=', 'CC(', 'OC)', '=C(', 'OC)', 'C=', 'C1)', 'C1=N', 'C2=C(', 'N1', 'C)', 'C(=O)N(CC)', 'C(=O)N2CC']","[917, 957, 139, 101, 917, 59, 258, 327, 692, 94, 692, 311, 253, 265, 287, 609, 241, 156, 163]"
fomepizole,"['CC1=', 'CN', 'N=C1']","[371, 519, 640]"
bromfenac,"['N', 'C1=C(', 'CC(O)=O)', 'C=', 'CC', '=C1', 'C(=O)', 'C1=', 'CC', '=C(', 'Br)', 'C=C1']","[590, 260, 362, 311, 324, 106, 146, 258, 324, 94, 133, 316]"
perflutren,"['FC(F)(F)', 'C(F)(F)', 'C(F)(F)F']","[587, 217, 218]"
propiomazine,"['CCC(=O)', 'C1=', 'CC2', '=C(', 'S', 'C3=', 'CC=', 'CC', '=C3', 'N2', 'CC(C)', 'N(C)C)', 'C=C1']","[393, 258, 377, 94, 742, 299, 388, 324, 109, 622, 341, 599, 316]"
tetracosactide,"['CS', 'CC[C@H](', 'NC(=O)[C@H](', 'CO)', 'NC(=O)[C@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'NC(=O)', '[C@@H](N)', 'CO)', 'C(=O)N[C@@H](', 'CCC(O)=O)', 'C(=O)N[C@@H](', 'CC1=', 'CN', '=', 'CN', '1)', 'C(=O)N[C@@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N[C@@H](', 'CC1=', 'CN', 'C2', '=C1', 'C=', 'CC', '=C', '2)', 'C(=O)N', 'CC(=O)N[C@@H](', 'CCCCN)', 'C(=O)N1CCC[C@H]1', 'C(=O)N[C@@H](', 'C(C)C)', 'C(=O)N', 'CC(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N1CCC[C@H]1', 'C(=O)N[C@@H](', 'C(C)C)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'C(C)C)', 'C(=O)N[C@@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'C(=O)N1CCC[C@H]1', 'C(O)=O']","[560, 510, 655, 548, 655, 371, 324, 100, 311, 253, 646, 792, 548, 174, 404, 174, 371, 519, 92, 519, 72, 174, 371, 388, 388, 253, 174, 444, 224, 174, 371, 519, 281, 106, 311, 324, 93, 74, 152, 335, 441, 159, 174, 206, 152, 335, 441, 174, 441, 174, 444, 224, 174, 444, 224, 159, 174, 206, 174, 441, 174, 206, 174, 371, 324, 100, 311, 253, 159, 234]"
guanethidine,"['NC(N)', '=N', 'CCN1', 'CCCC', 'CCC1']","[660, 113, 479, 415, 406]"
gadofosveset trisodium,"['[Na+]', '.', '[Na+]', '.', '[Na+]', '.', '[Gd+3]', '.', '[O-]', 'C(=O)', 'CN(', 'CCN(', 'CC(', '[O-])', '=O)', 'CC(', '[O-])', '=O)', 'C[C@H](', 'CO', 'P', '([O-])', '(=O)', 'OC1', 'CCC(', 'CC1)', '(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC=', 'C1)', 'N(', 'CC(', '[O-])', '=O)', 'CC(', '[O-])', '=O']","[942, 60, 942, 60, 942, 60, 915, 60, 944, 146, 520, 464, 327, 945, 121, 327, 945, 121, 571, 547, 734, 58, 32, 693, 392, 369, 31, 258, 388, 388, 253, 258, 388, 388, 253, 592, 327, 945, 121, 327, 945, 120]"
triptorelin,"['CC(C)C[C@H](NC(=O)', '[C@@H](', 'CC1=', 'CN', 'C2=', 'CC=', 'CC', '=C1', '2)', 'NC(=O)[C@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'NC(=O)[C@H](', 'CO)', 'NC(=O)[C@H](', 'CC1=', 'CN', 'C2', '=C1', 'C=', 'CC', '=C', '2)', 'NC(=O)[C@H](', 'CC1=', 'CN', 'C=', 'N1)', 'NC(=O)[C@@H]1', 'CCC(=O)N', '1)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N1CCC[C@H]1', 'C(=O)N', 'CC(N)', '=O']","[349, 781, 371, 519, 286, 388, 324, 106, 74, 655, 371, 324, 100, 311, 253, 655, 548, 655, 371, 519, 281, 106, 311, 324, 93, 74, 655, 371, 519, 311, 610, 654, 394, 72, 174, 444, 224, 159, 152, 356, 120]"
pitolisant,"['Cl', 'C1=', 'CC', '=C(', 'CCCO', 'CCCN2', 'CCCCC2)', 'C=C1']","[583, 258, 324, 94, 455, 451, 432, 316]"
copper oxodotreotide cu-64,"['[64Cu++]', '.', 'C[C@@H](O)', '[C@H](NC(=O)', '[C@@H]1', 'CS', 'S', 'C[C@H](NC(=O)', '[C@@H](', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'NC(=O)', 'CN2CCN(', 'CC(O)=O)', 'CCN(', 'CC(', '[O-])', '=O)', 'CCN(', 'CC(', '[O-])', '=O)CC2)', 'C(=O)N[C@@H](', 'CC2', '=', 'CC', '=C(O)', 'C=C', '2)', 'C(=O)N[C@H](', 'CC2', '=', 'CN', 'C3', '=C2', 'C=', 'CC', '=C', '3)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', '[C@@H](C)O)', 'C(=O)N', '1)', 'C(O)=O']","[771, 60, 567, 852, 801, 560, 742, 575, 781, 377, 92, 388, 324, 93, 74, 646, 538, 362, 464, 327, 945, 121, 464, 327, 945, 126, 174, 377, 92, 324, 100, 312, 74, 178, 377, 92, 519, 295, 108, 311, 324, 93, 78, 174, 441, 174, 785, 152, 72, 234]"
guanidine,"['NC(N)', '=N']","[660, 113]"
ramipril,"['[H]', '[C@@]12', 'CCC', '[C@]1(', '[H]', ')', 'N(', '[C@@H](', 'C2)', 'C(O)=O)', 'C(=O)', '[C@H](C)', 'N[C@@H](', 'CCC1', '=', 'CC=', 'CC=', 'C1)', 'C(=O)OCC']","[917, 822, 391, 885, 917, 59, 592, 781, 284, 235, 146, 842, 667, 406, 92, 388, 388, 253, 185]"
riociguat,"['CO', 'C(=O)N(C)', 'C1=C(', 'N)', 'N=C(', 'N=C1', 'N)', 'C1=N', 'N(', 'CC2', '=C(', 'F)', 'C=', 'CC', '=C', '2)', 'C2', '=C1', 'C=', 'CC=', 'N2']","[547, 154, 260, 606, 636, 640, 606, 265, 592, 377, 94, 586, 311, 324, 93, 74, 281, 106, 311, 388, 622]"
selexipag,"['CC(C)', 'N(', 'CCCC', 'OCC(=O)N', 'S(C)(=O)=O)', 'C1=N', 'C(', 'C2=', 'CC=', 'CC', '=C', '2)', '=C(', 'N=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']","[341, 592, 415, 700, 750, 265, 139, 286, 388, 324, 93, 74, 94, 634, 253, 258, 388, 324, 106]"
pralidoxime,"['C', '[N+]1', '=C(\\', 'C', '=N\\', 'O)', 'C=', 'CC', '=C1']","[134, 933, 101, 134, 119, 671, 311, 324, 106]"
frovatriptan,"['CN', '[C@@H]1', 'CCC2', '=C(', 'C1)', 'C1=C(', 'N2)', 'C=CC(', '=', 'C1)', 'C(N)=O']","[519, 801, 410, 94, 253, 260, 623, 319, 92, 253, 225]"
amisulpride,"['CCN1', 'CCCC1', 'CNC(=O)', 'C1=', 'CC(', '=C(N)', 'C=C1', 'OC)', 'S(=O)(=O)', 'CC']","[479, 421, 543, 258, 327, 99, 316, 692, 745, 324]"
mebrofenin,"['CC1=', 'CC(C)', '=C(', 'Br)', 'C(C)', '=C1', 'NC(=O)', 'CN(', 'CC(O)=O)', 'CC(O)', '=O']","[371, 341, 94, 133, 195, 106, 646, 520, 362, 360, 120]"
benznidazole,"['[O-]', '[N+](=O)', 'C1=N', 'C=', 'CN1', 'CC(=O)N', 'CC1=', 'CC=', 'CC', '=C1']","[944, 925, 265, 311, 530, 329, 371, 388, 324, 106]"
losartan,"['CCCCC1', '=N', 'C(Cl)', '=C(', 'CO)', 'N1', 'CC1=', 'CC', '=C(', 'C=', 'C1)', 'C1=', 'CC=', 'CC', '=C1', 'C1=N', 'N', 'N', '=N1']","[430, 113, 214, 94, 548, 609, 371, 324, 94, 311, 253, 258, 388, 324, 106, 265, 590, 590, 117]"
lubiprostone,"['[H]', '[C@@]12', 'CC(=O)', '[C@H](', 'CCCC', 'CCC(O)=O)', '[C@@]1(', '[H]', ')', 'CC', '[C@@]', '(O)', '(O', '2)', 'C(F)(F)', 'CCCC']","[917, 822, 328, 839, 415, 404, 818, 917, 59, 324, 813, 54, 53, 74, 217, 415]"
